이름,연도,나이,출장,선발,이닝,투구,유망주,연차,가중이닝,가중출장,누적이닝,가중투구,선발불펜,큰수술경험,다음연도부상,비고
임창용,2017,41,51,0,50,846,0,22,101.5,102.3,1,1704.8,1,1,1,
임창용,2018,42,37,12,86.1,1526,0,23,138.6,89.7,1,2425.2,1,1,0,
이현호,2015,23,49,7,86,1526,1,1,86,49,0,1526,1,1,0,팔꿈치
이현호,2016,24,41,1,47,865,1,2,107.2,75.3,0,1933.2,1,1,0,
이현호,2017,25,24,2,30,552,0,3,105.9,77.2,0,1920.5,1,1,0,
이현호,2018,26,15,2,28,513,0,4,72.5,52.3,0,1331.9,1,1,0,
이현호,2019,27,16,8,40.1,695,0,5,74.7,38.5,0,1330.1,0,1,0,
이현호,2020,28,16,0,15.1,267,0,6,57.17,34.7,0,1010,1,1,0,
이대은,2019,30,43,8,85,1450,0,1,85,43,0,1450,1,1,1,
이대은,2020,31,20,4,29.1,514,0,2,88.6,50.1,0,1529,1,0,1,
최충연,2016,19,3,3,7.2,186,1,0,7.2,3,0,186,0,0,1,
최충연,2017,20,42,6,84,1603,1,1,89.04,44.1,0,1733.2,1,0,0,
최충연,2018,21,70,0,85,1384,1,2,147.4,100.9,0,2599.1,1,0,1,
최충연,2019,22,34,2,36.2,803,1,3,137.7,104,0,2573.3,1,0,0,
최성영,2016,19,7,0,4.2,85,1,0,4.2,7,0,85,1,0,0,
최성영,2017,20,7,0,11.1,246,1,0,14.04,11.9,0,305.5,1,0,1,
최성영,2018,21,28,8,64.1,1166,1,1,73.97,36.4,0,1380.7,1,0,0,
최성영,2019,22,26,15,82.1,1490,1,2,132.52,49.1,0,2429.2,0,0,0,
최성영,2020,23,14,13,60.2,1089,1,3,149.72,46.2,0,2715,0,0,0,
류희운,2016,21,5,0,8.1,145,1,0,8.1,5,0,145,1,1,0,토미존
류희운,2017,22,24,14,81,1585,1,1,86.67,27.5,0,1686.5,0,1,0,
류희운,2018,23,29,2,44,783,1,2,104.75,48.3,0,1965,1,1,1,
류희운,2019,24,1,1,2.1,61,1,3,73.4,33.3,0,1401.6,0,1,0,
류희운,2020,25,7,0,8.1,141,0,4,31.57,22.2,0,575.2,1,1,1,
김기훈,2019,19,19,16,79.1,1551,1,1,79.1,19,0,1551,0,0,0,
김기훈,2020,20,22,7,52,1001,1,2,107.37,35.3,0,2086.7,1,0,0,
송창현,2014,25,20,17,79.1,1481,0,2,136.64,41,0,1481,0,0,1,
송창현,2016,27,11,0,10.2,185,0,4,49.75,21,0,925.5,1,1,0,
송창현,2019,30,3,2,12.2,217,0,7,12.2,3,0,217,0,1,0,
김사율,2014,34,33,7,79.1,1403,0,15,153.52,82.5,1,1403,1,1,1,어깨
김사율,2015,35,21,0,25.2,480,0,16,117.62,61.6,1,1462.1,1,1,0,
김사율,2016,36,25,0,30.1,571,0,17,87.29,56.2,1,1608.5,1,1,0,
김사율,2017,37,19,5,34.2,612,0,18,67.87,47,1,1251.7,1,1,0,
김사율,2018,38,29,3,45.1,788,0,19,84.09,54.8,1,1501.9,1,1,0,
김대우,2014,26,30,9,73.2,1476,0,1,73.2,30,0,1476,1,0,0,
김대우,2015,27,47,1,71,1260,0,2,122.24,68,0,2293.2,1,0,1,
김대우,2016,28,67,0,66,1093,0,3,152.3,114.9,0,2713,1,0,0,
김대우,2017,29,25,7,50,933,0,4,131.7,95.4,0,2328.1,1,0,1,
김대우,2018,30,8,7,36.1,662,0,5,104.1,59,0,1861.6,0,0,1,
김대우,2019,31,44,0,59.2,987,0,6,109.47,62.1,0,1916.9,1,0,0,
김대우,2020,32,28,9,77.2,1346,0,7,136.69,62.8,1,2367.9,1,0,1,
조영우,2014,19,6,2,11,218,1,0,11,6,0,218,1,0,0,
조영우,2015,20,1,0,1,13,1,0,8.7,5.2,0,165.6,1,0,1,
조영우,2019,24,7,1,12.1,224,1,0,12.1,7,0,224,1,1,0,팔꿈치
조영우,2020,25,35,7,77,1323,0,1,85.47,39.9,0,1479.8,1,1,0,
김승회,2014,33,54,0,56,924,0,12,167.15,103.1,1,924,1,1,0,팔꿈치
김승회,2015,34,39,7,75,1336,0,13,150.7,103.3,1,1982.8,1,1,0,
김승회,2016,35,23,0,24.1,425,0,14,104.6,77.3,1,1822.2,1,1,1,
김승회,2017,36,69,0,69,1099,0,15,123.37,104.6,1,2064.5,1,1,0,
김승회,2018,37,55,0,54.2,945,0,16,114.55,114.8,1,1926.8,1,1,1,
김승회,2019,38,55,0,58.2,935,0,17,130.64,128,1,2146,1,1,1,
김기태,2014,27,6,0,8.2,166,0,0,13.57,7.9,0,166,1,1,0,어깨
김기태,2015,28,23,0,29.1,484,0,0,36.89,28.2,0,600.2,1,1,1,
김기태,2016,29,17,15,75,1357,0,1,99.47,36.1,0,1778.8,0,1,1,
김기태,2018,31,1,0,1.2,42,0,3,38.7,9.5,0,720.5,1,1,1,
오주원,2014,29,21,14,74,1301,0,11,115.77,41,1,1301,0,1,1,허리
오주원,2015,30,9,4,18.1,377,0,12,90.45,28.7,1,1287.7,1,1,1,
오주원,2016,31,55,0,51,808,0,13,100.67,71.8,1,1722.4,1,1,0,
오주원,2017,32,57,3,73.2,1141,0,14,117.95,100,1,1895.1,1,1,1,
오주원,2018,33,61,0,52.1,820,0,15,128.84,128.4,1,2022.7,1,1,0,
오주원,2019,34,57,0,54.1,797,0,16,127.17,128.2,1,1941.5,1,1,0,
오주원,2020,35,25,0,18.1,277,0,17,82.02,95.4,1,1244.9,1,1,0,
이준형,2015,22,4,2,5.2,155,1,0,5.2,4,0,155,0,1,1,토미존
이준형,2016,23,25,13,71.1,1261,1,1,74.74,27.8,0,1369.5,0,1,1,
김병현,2014,35,21,15,71,1322,0,3,154.57,41,0,1322,0,1,1,
김병현,2015,36,23,8,49,881,0,4,136.25,45.2,0,1806.4,1,1,1,
양훈,2015,29,16,3,38.1,543,0,11,38.1,16,1,543,1,1,1,허리
양훈,2016,30,20,13,70.2,1238,0,12,96.87,31.2,1,1618.1,0,1,0,
양훈,2017,31,7,2,16.1,265,0,13,84.29,29,1,1403.1,1,1,0,
김동준,2014,22,5,0,6,141,1,0,6,5,0,141,1,1,0,
김동준,2015,23,22,5,50.1,966,1,1,54.3,25.5,0,1064.7,1,1,0,
